head	relation	tail
client_29B02E83DB	owns	machine_A36DCA75EE
client_29B02E83DB	owns	machine_31C52EC8E4
client_29B02E83DB	owns	machine_E80463A096
client_29B02E83DB	owns	machine_3266ADBCD7
client_29B02E83DB	owns	machine_670AEF171E
client_29B02E83DB	owns	machine_BB204F160E
client_29B02E83DB	owns	machine_B79EAE6EC4
client_29B02E83DB	owns	machine_796AEF8FC3
client_2AA174ECB7	owns	machine_D844DFA2D2
client_2B77DBEB71	owns	machine_5FD3EEE260
client_2C280A1C38	owns	machine_13C246BA28
client_2C280A1C38	owns	machine_0D224C6D12
client_2C280A1C38	owns	machine_6D0D99D4DB
client_2C280A1C38	owns	machine_FD578343FC
client_2D64C010C9	owns	machine_76D3FAA4C4
client_2F8D20C33D	owns	machine_E7D5C6B5F3
client_2F8D20C33D	owns	machine_B8DBDCA8B4
client_2F8D20C33D	owns	machine_2F13BDD086
client_2F8D20C33D	owns	machine_3FFC054863
client_302D5D86FE	owns	machine_B2627C6F5C
client_302D5D86FE	owns	machine_29C8264047
client_302D5D86FE	owns	machine_C27614394E
client_302D5D86FE	owns	machine_E6C18993F6
client_30A6BB9601	owns	machine_9AC010F4CF
client_30A6BB9601	owns	machine_D844DFA2D2
client_30A6BB9601	owns	machine_E80463A096
client_30FC1DEB3B	owns	machine_537CF4C93C
client_30FC1DEB3B	owns	machine_F894CF1B64
client_30FC1DEB3B	owns	machine_6CC57E3D68
client_314D3BB804	owns	machine_E5F93A0581
client_32969770A0	owns	machine_D832643F67
client_32969770A0	owns	machine_73472CF168
client_32969770A0	owns	machine_2639A16DE7
client_32969770A0	owns	machine_E479FE7166
client_32969770A0	owns	machine_22F8CB90B2
client_32969770A0	owns	machine_00E62E6454
client_32969770A0	owns	machine_A85D36F733
client_32969770A0	owns	machine_30DE67D20B
client_32969770A0	owns	machine_B647825C81
client_33BBDEC63F	owns	machine_DACD7D1C22
client_33BBDEC63F	owns	machine_28B6C353C1
client_33BBDEC63F	owns	machine_341FE6F3FB
client_33BBDEC63F	owns	machine_1490E6DAD8
client_33BBDEC63F	owns	machine_1694F63EEB
client_33BBDEC63F	owns	machine_320A98A53A
client_33BBDEC63F	owns	machine_1DAEA5EED3
client_33BBDEC63F	owns	machine_932373052E
client_33BBDEC63F	owns	machine_B988DB6762
client_33BBDEC63F	owns	machine_E4932CC110
client_352394E6A3	owns	machine_3E4E574B4C
client_352394E6A3	owns	machine_C2E5400C90
client_352394E6A3	owns	machine_206160F6C8
client_352394E6A3	owns	machine_4CE3BBAA59
client_352394E6A3	owns	machine_52D34C4700
client_352394E6A3	owns	machine_FE97D86338
client_352394E6A3	owns	machine_2132581246
client_352394E6A3	owns	machine_8675C5F911
client_352394E6A3	owns	machine_629A4219E6
client_352394E6A3	owns	machine_EDB1E4A47C
client_352394E6A3	owns	machine_6D53498D51
client_35FFDFFFDE	owns	machine_FABD0CA1E2
client_35FFDFFFDE	owns	machine_CC2CC3690D
client_35FFDFFFDE	owns	machine_6AC4F949DC
client_3631592100	owns	machine_C2A48B4B5F
client_3631592100	owns	machine_C982B49528
client_3631592100	owns	machine_B371F5BDF1
client_37143D6B34	owns	machine_20128EAF29
client_37143D6B34	owns	machine_5F02FAC8C0
client_37143D6B34	owns	machine_068943308F
client_37143D6B34	owns	machine_827622CF95
client_37143D6B34	owns	machine_C86D594FB1
client_37143D6B34	owns	machine_9D1241214B
client_37143D6B34	owns	machine_C1E2E26195
client_37143D6B34	owns	machine_B155941FB3
client_37143D6B34	owns	machine_2406F4B169
client_37143D6B34	owns	machine_910B909539
client_37143D6B34	owns	machine_C06C5859CD
client_37143D6B34	owns	machine_B50F3AB399
client_37143D6B34	owns	machine_F5533618B4
client_37143D6B34	owns	machine_334FBD11F8
client_37143D6B34	owns	machine_23F6B9B877
client_37143D6B34	owns	machine_1A83F4781E
client_37143D6B34	owns	machine_796DD1DBA6
client_37634CECDA	owns	machine_93A61BAA02
client_37634CECDA	owns	machine_99DD52BEA2
client_37634CECDA	owns	machine_85BFC3402E
client_37634CECDA	owns	machine_4BA6934A19
client_37634CECDA	owns	machine_99E58EFEE7
client_37634CECDA	owns	machine_EAE4ECDF50
client_37634CECDA	owns	machine_1F4619F0BB
client_37634CECDA	owns	machine_90D60BAA00
client_37634CECDA	owns	machine_5A63A06B88
client_37634CECDA	owns	machine_DB91592B51
client_37634CECDA	owns	machine_86CDD51805
client_37634CECDA	owns	machine_E18388B47E
client_37634CECDA	owns	machine_1D6129358F
client_37634CECDA	owns	machine_DC2F2573A3
client_37634CECDA	owns	machine_A64F016B8F
client_37634CECDA	owns	machine_2D76B1ABA1
client_37634CECDA	owns	machine_D61637595C
client_37634CECDA	owns	machine_D2BBA50020
client_37634CECDA	owns	machine_2878785836
client_37634CECDA	owns	machine_F012F154D1
client_37634CECDA	owns	machine_ED06858260
client_37634CECDA	owns	machine_C4636EDD78
client_37634CECDA	owns	machine_6F667E93C8
client_37634CECDA	owns	machine_A4A37CA462
client_37B2EACB27	owns	machine_27E9481943
client_37B2EACB27	owns	machine_06EECFBCBF
client_37B2EACB27	owns	machine_223FD3F0CE
client_37B2EACB27	owns	machine_F41081768A
client_37B2EACB27	owns	machine_6DB06E2D4C
client_37B2EACB27	owns	machine_D2B7788278
client_37B2EACB27	owns	machine_6AAD00B12F
client_37B2EACB27	owns	machine_CDCC359424
client_37B2EACB27	owns	machine_BFB4C80C41
client_37B2EACB27	owns	machine_423CEEF5DE
client_37B2EACB27	owns	machine_E1AFD240E3
client_37B2EACB27	owns	machine_762523ED6E
client_37B2EACB27	owns	machine_6AB74D2188
client_37B2EACB27	owns	machine_EAD6DDBF18
client_37B2EACB27	owns	machine_BCDB2B3A18
client_37B2EACB27	owns	machine_9F80064742
client_37B2EACB27	owns	machine_C63C2C41FD
client_37B2EACB27	owns	machine_8BC17365A2
client_37B2EACB27	owns	machine_96E6F72AA6
client_37B2EACB27	owns	machine_23C87E85DB
client_37B2EACB27	owns	machine_207395BB8E
client_37B2EACB27	owns	machine_927EF6EC95
client_37B2EACB27	owns	machine_7DDF42C59E
client_37B2EACB27	owns	machine_FF91C49DC1
client_37B2EACB27	owns	machine_8F5BA86A53
client_3A3BB3279E	owns	machine_F61ED841AD
client_3C3992D905	owns	machine_0C4093623C
client_3CAB4E9F10	owns	machine_4CDC44D213
client_3D3BE62D8E	owns	machine_19F616B78C
client_3D3BE62D8E	owns	machine_50CFC11630
client_3D3BE62D8E	owns	machine_76261D6CA6
client_3D3BE62D8E	owns	machine_37D9A92480
client_3D3BE62D8E	owns	machine_EF9A1485BF
client_3D3BE62D8E	owns	machine_2177AC5F32
client_3D3BE62D8E	owns	machine_DC2F0CD416
client_3D3BE62D8E	owns	machine_98F62A7995
client_3D563977A8	owns	machine_79685D53E9
client_3D563977A8	owns	machine_4F1C2F1ABC
client_3D563977A8	owns	machine_7821959148
client_3D563977A8	owns	machine_9B6797D0CD
client_3D563977A8	owns	machine_DDF34FAA95
client_3D563977A8	owns	machine_0EA63013D6
client_3D563977A8	owns	machine_9D806EF0C3
client_3D563977A8	owns	machine_FCE47C0D60
client_3D563977A8	owns	machine_FB35DA3C99
client_3D563977A8	owns	machine_FB24B35DBD
client_3D563977A8	owns	machine_F4EB38C410
client_3D563977A8	owns	machine_DEBC1EEC9C
client_3D563977A8	owns	machine_F8A94BD9A3
client_3D563977A8	owns	machine_28EBBD4FD2
client_3D563977A8	owns	machine_2E6B523C18
client_3D563977A8	owns	machine_E633E833F8
client_3D563977A8	owns	machine_DE0BFD4943
client_3D563977A8	owns	machine_C058375761
client_3D563977A8	owns	machine_32E77CCD7E
client_3D563977A8	owns	machine_D96BFF22AD
client_3D563977A8	owns	machine_789B1CC22F
client_3D563977A8	owns	machine_AA9D89DA07
client_3D563977A8	owns	machine_2984E8F661
client_3D563977A8	owns	machine_B1F5CA938B
client_3D563977A8	owns	machine_32244F7220
client_3D563977A8	owns	machine_E949E3E54A
client_3D563977A8	owns	machine_E615186455
client_3D563977A8	owns	machine_9C30971DEB
client_3D563977A8	owns	machine_33A29F30EF
client_3D563977A8	owns	machine_FC24675BD2
client_3D563977A8	owns	machine_665B07F12B
client_3D563977A8	owns	machine_D7E289B0A2
client_3D563977A8	owns	machine_C2EE6EC0DB
client_3D563977A8	owns	machine_3DFA0C741F
client_3D563977A8	owns	machine_2550509EC0
client_3D563977A8	owns	machine_A3743E8709
client_3D563977A8	owns	machine_909DD64BF2
client_3D563977A8	owns	machine_1634469196
client_3D563977A8	owns	machine_E0FBDA4E85
client_3D563977A8	owns	machine_926B103414
client_3D563977A8	owns	machine_DCEC142C67
client_3D563977A8	owns	machine_EE4EE733F5
client_3D563977A8	owns	machine_C15C88AF8C
client_3D563977A8	owns	machine_511E1D0F35
client_3D563977A8	owns	machine_1082936282
client_3D563977A8	owns	machine_95B9079DC1
client_3D563977A8	owns	machine_D14E5166B9
client_3D563977A8	owns	machine_EE3B69A2B6
client_3D563977A8	owns	machine_70D636DFDD
client_3D563977A8	owns	machine_4F8E8FA10F
client_3D563977A8	owns	machine_E5D95B5668
client_3D563977A8	owns	machine_79C3C5F14E
client_3D563977A8	owns	machine_68F4515472
client_3D563977A8	owns	machine_70B69F3647
client_3D563977A8	owns	machine_3EC102B3B9
client_3D563977A8	owns	machine_430136CE1F
client_3D563977A8	owns	machine_342CCE5C4B
client_3D563977A8	owns	machine_781B0A8340
client_3D563977A8	owns	machine_311BD4462C
client_3D563977A8	owns	machine_13EA24F611
client_3D563977A8	owns	machine_97AEC9963B
client_3D563977A8	owns	machine_DAEEDBF787
client_3D563977A8	owns	machine_A8933E0B38
client_3D563977A8	owns	machine_3B08F9E568
client_3D563977A8	owns	machine_60C56A90A9
client_3D563977A8	owns	machine_5B766067A8
client_3D563977A8	owns	machine_6AB9BD3E4D
